,Coffee_Price,Minas_Temp,Minas_Rain,SP_Temp,SP_Rain
2020-04-01,104.6500015258789,22.683333333333334,82.1,18.853333333333335,9.4
2020-05-01,96.30000305175781,19.92258064516129,29.1,16.22258064516129,29.200000000000003
2020-06-01,100.05000305175781,19.916666666666668,1.1,17.983333333333334,65.4
2020-07-01,118.94999694824219,20.783870967741933,0.1,17.129032258064516,9.7
2020-08-01,129.8000030517578,21.370967741935484,7.4,16.49032258064516,85.7
2020-09-01,110.94999694824219,25.506666666666668,4.5,20.466666666666665,31.8
2020-10-01,104.4000015258789,25.729032258064517,252.3,20.490322580645163,98.7
2020-12-01,128.25,24.719354838709677,119.0,21.64516129032258,138.4
2021-01-01,122.94999694824219,25.25483870967742,80.4,22.848387096774193,184.0
2021-02-01,136.85000610351562,23.932142857142857,246.4,21.45357142857143,162.0
2021-03-01,123.5,24.203225806451613,43.5,21.967741935483872,108.9
2021-04-01,139.9499969482422,23.116666666666667,21.0,18.423333333333336,62.5
2021-05-01,162.35000610351562,22.25483870967742,0.7000000000000001,17.129032258064516,38.2
2021-06-01,159.35000610351562,21.37,1.8,15.886666666666667,29.7
2021-07-01,179.5500030517578,19.89032258064516,0.0,14.387096774193548,18.200000000000003
2021-09-01,194.0,26.983333333333334,0.4,19.753333333333334,20.2
2021-10-01,203.9499969482422,25.048387096774192,180.3,18.41290322580645,158.7
2021-11-01,233.25,23.15666666666667,431.7,19.470000000000002,51.8
2021-12-01,226.10000610351562,23.07741935483871,238.9,20.27741935483871,181.8
2022-01-01,235.10000610351562,23.774193548387096,225.6,21.874193548387098,276.4
2022-02-01,234.25,23.210714285714285,263.5,21.560714285714287,96.7
2022-03-01,226.39999389648438,25.051612903225806,6.3,22.403225806451612,154.7
2022-04-01,222.5500030517578,24.423333333333336,17.4,19.77,53.6
2022-06-01,233.60000610351562,19.63,0.2,15.75,46.4
2022-07-01,217.1999969482422,20.36774193548387,0.0,17.561290322580643,6.3
2022-08-01,239.10000610351562,22.261290322580646,0.0,16.070967741935483,39.8
2022-09-01,221.5500030517578,24.65666666666667,14.1,16.153333333333332,116.7
2022-10-01,177.6999969482422,25.874193548387098,42.8,19.509677419354837,123.0
2022-11-01,167.6999969482422,22.756666666666668,199.3,18.09333333333333,126.3
2022-12-01,167.3000030517578,22.73225806451613,264.4,20.467741935483872,228.1
2023-02-01,190.39999389648438,25.260714285714283,15.5,21.932142857142857,249.1
2023-03-01,170.5,25.596774193548388,16.1,21.661290322580644,184.3
2023-04-01,189.85000610351562,23.91,61.3,18.716666666666665,92.4
2023-05-01,178.64999389648438,21.761290322580646,0.8999999999999999,17.358064516129033,44.0
2023-06-01,161.0,20.226666666666667,6.6,15.793333333333333,25.4
2023-07-01,164.64999389648438,20.983870967741936,1.4000000000000001,16.261290322580646,23.8
2023-08-01,152.6999969482422,22.916129032258063,44.0,18.009677419354837,42.9
2023-09-01,146.14999389648438,26.25,11.2,21.28666666666667,69.0
2023-11-01,195.0,27.863333333333333,44.9,22.426666666666666,139.0
2023-12-01,188.3000030517578,26.748387096774195,116.6,22.809677419354838,84.2
2024-01-01,194.0500030517578,24.606451612903225,274.7,22.36774193548387,204.6
2024-02-01,195.85000610351562,24.20689655172414,220.8,22.351724137931036,204.3
2024-03-01,188.85000610351562,25.532258064516128,57.6,22.093548387096774,112.3
2024-04-01,220.64999389648438,24.496666666666666,12.1,21.063333333333333,54.9
2024-05-01,222.35000610351562,23.493548387096773,0.6,20.23548387096774,38.3
2024-06-01,228.9499969482422,21.456666666666667,0.0,18.05666666666667,6.5
2024-07-01,229.1999969482422,21.34193548387097,0.1,16.087096774193547,41.6
2024-08-01,248.1999969482422,23.006451612903227,0.0,16.861290322580647,55.4
2024-10-01,245.89999389648438,25.729032258064517,141.8,19.951612903225808,96.4
2024-11-01,321.6499938964844,23.743333333333332,148.0,21.38,203.3
